,Registration_State,Issue_Date,Vehicle_Make
0,NY,6/30/16 2:17,TOYOT
1,NY,7/4/16 1:18,ME/BE
2,NY,7/11/16 6:15,LINCO
3,NY,7/4/16 1:10,NISSA
4,NY,7/1/16 6:30,VOLKS
5,NY,6/28/16 6:22,HONDA
6,NY,6/29/16 23:16,HYUND
7,NY,7/10/16 22:35,HONDA
8,NY,7/9/16 17:34,SAAB
9,NY,6/30/16 18:45,TOYOT
10,PA,7/6/16 21:45,TOYOT
11,NY,7/8/16 5:11,HONDA
12,NY,6/20/16 2:56,BMW
13,NY,6/20/16 1:35,CHEVR
14,NY,6/19/16 6:26,CADIL
15,NY,6/20/16 1:56,TOYOT
16,NY,6/16/16 3:03,CHEVR
17,VA,6/12/16 2:58,
18,MD,6/15/16 6:51,NISSA
19,NY,6/13/16 5:18,JEEP
20,FL,6/10/16 2:16,NISSA
21,NY,6/18/16 1:20,HONDA
22,NY,6/14/16 4:29,NISSA
23,NY,6/11/16 1:23,CHEVR
24,NY,6/17/16 3:47,HONDA
25,TN,6/12/16 3:01,CHEVR
26,NY,6/18/16 4:52,FORD
27,NY,6/17/16 12:17,HONDA
28,NY,6/21/16 12:26,KIA
29,NY,6/21/16 12:34,CHEVR
30,NY,6/14/16 0:15,TOYOT
31,NY,6/14/16 2:14,FORD
32,NY,7/7/16 12:11,TOYOT
33,NY,7/9/16 3:25,CHEVR
34,NY,7/2/16 19:16,FORD
35,NY,7/10/16 19:12,HONDA
36,NY,7/7/16 20:35,FORD
37,NJ,6/24/16 10:32,LINCO
38,NY,7/1/16 10:25,AUDI
39,NY,7/7/16 7:38,
40,NJ,7/8/16 13:37,VOLKS
41,NY,7/8/16 10:37,PREVO
42,NY,6/21/16 16:45,CHEVR
43,99,6/21/16 16:05,INTER
44,NY,6/24/16 9:19,FRUEH
45,NJ,6/24/16 10:45,HINO
46,NY,6/24/16 11:05,GMC
47,NJ,7/5/16 12:25,MERCU
48,NY,7/5/16 11:40,TOYOT
49,NY,7/9/16 12:15,TOYOT
50,NY,6/25/16 10:05,
51,PA,6/25/16 10:00,TOYOT
52,NJ,7/1/16 17:08,HINO
53,NY,7/1/16 17:05,HONDA
54,PA,7/8/16 19:55,CHEVR
55,NY,6/16/16 3:52,HONDA
56,NY,6/16/16 3:52,HONDA
57,NY,7/9/16 2:05,BMW
58,NY,7/4/16 21:15,NISSA
59,NY,7/10/16 15:09,NISSA
60,NY,7/7/16 16:29,JEEP
61,NY,7/7/16 16:41,VOLVO
62,NY,7/7/16 16:44,ROVER
63,NJ,7/7/16 16:46,FORD
64,NY,7/7/16 16:51,ME/BE
65,NJ,7/7/16 17:37,NISSA
66,NY,7/7/16 17:40,ROVER
67,NJ,7/7/16 17:50,HONDA
68,NJ,7/7/16 17:54,FORD
69,NY,7/7/16 18:31,LINCO
70,NY,7/7/16 18:33,LINCO
71,NJ,7/13/16 15:48,VOLKS
72,NY,7/13/16 15:57,FORD
73,NY,7/13/16 15:58,CHEVR
74,OH,7/13/16 16:07,MERCU
75,NJ,7/13/16 16:11,ACURA
76,IL,7/13/16 16:22,KIA
77,NJ,7/13/16 16:25,JEEP
78,NJ,7/13/16 16:35,MERCU
79,NY,7/13/16 16:46,CADIL
80,NY,7/13/16 16:50,ME/BE
81,NY,7/13/16 17:43,FIAT
82,NY,7/13/16 17:47,ROVER
83,NY,7/13/16 17:49,JEEP
84,NY,7/13/16 18:34,NISSA
85,NY,7/15/16 16:21,FORD
86,NJ,7/15/16 16:23,JEEP
87,NY,7/15/16 16:30,FORD
88,NY,7/15/16 16:32,FORD
89,NY,7/13/16 10:46,HONDA
90,NY,6/26/16 19:25,HONDA
91,NY,6/27/16 13:32,CHEVR
92,NY,6/27/16 13:40,TOYOT
93,NY,6/28/16 10:31,FORD
94,NY,6/27/16 13:43,ME/BE
95,NY,6/27/16 12:35,JEEP
96,NY,6/27/16 11:57,FORD
97,NY,6/24/16 12:07,ME/BE
98,TN,6/18/16 17:09,TOYOT
99,NJ,6/18/16 16:33,NISSA
100,NY,7/31/16 8:07,MACK
101,NJ,7/5/16 7:13,HYUND
102,NY,6/22/16 11:30,NISSA
103,NJ,6/24/16 8:14,VOLKS
104,NY,6/27/16 9:27,JEEP
105,NY,6/27/16 9:30,JEEP
106,NY,6/24/16 3:00,FORD
107,NY,6/24/16 15:05,NISSA
108,NY,6/22/16 14:20,NISSA
109,NY,6/22/16 14:23,HONDA
110,NY,6/23/16 18:15,HONDA
111,NY,6/22/16 14:17,LEXUS
112,PA,6/24/16 10:13,JEEP
113,NJ,7/11/16 7:42,FORD
114,NY,7/2/16 15:47,CHRYS
115,NY,7/3/16 17:35,CHEVR
116,NY,7/3/16 17:45,MAZDA
117,NY,7/3/16 5:50,JAGUA
118,NY,7/3/16 17:53,FORD
119,NY,7/3/16 17:55,NISSA
120,NY,7/3/16 17:55,NISSA
121,NY,7/3/16 18:00,NISSA
122,NY,7/3/16 18:03,HYUND
123,NY,7/3/16 18:05,MAZDA
124,NY,7/4/16 6:20,CHEVR
125,NY,7/4/16 18:25,HONDA
126,NY,6/23/16 9:55,FIAT
127,NY,6/23/16 9:57,OLDSM
128,NY,6/18/16 20:55,FORD
129,NY,6/16/16 22:45,TOYOT
130,NY,6/29/16 5:40,TOYOT
131,NY,7/4/16 5:34,TOYOT
132,NY,7/15/16 1:05,HONDA
133,99,6/18/16 19:15,HONDA
134,NY,6/29/16 14:30,NISSA
135,NY,6/28/16 22:21,NISSA
136,NY,7/2/16 22:15,LINCO
137,NC,6/24/16 20:04,FORD
138,PA,7/10/16 17:50,HONDA
139,NY,7/5/16 5:05,BMW
140,NY,7/3/16 17:40,JEEP
141,PA,6/16/16 20:03,ME/BE
142,NY,7/2/16 21:15,BMW
143,NY,6/18/16 21:40,HONDA
144,NY,6/20/16 22:48,TOYOT
145,NY,6/30/16 6:23,ACURA
146,NY,6/21/16 3:05,DODGE
147,99,7/4/16 2:05,ME/BE
148,NY,6/30/16 11:09,NISSA
149,NY,7/13/16 11:01,TOYOT
150,NY,6/21/16 1:30,ME/BE
151,NY,6/21/16 2:15,MITSU
152,99,7/7/16 2:05,VOLVO
153,NY,7/7/16 22:45,HONDA
154,NY,7/10/16 22:57,FORD
155,NY,7/10/16 23:22,HONDA
156,NY,7/3/16 9:23,HYUND
157,NY,7/3/16 22:52,DODGE
158,NY,7/9/16 8:23,ACURA
159,NY,6/17/16 2:00,HONDA
160,NY,7/3/16 17:52,FORD
161,NY,7/11/16 19:14,TOYOT
162,NY,7/11/16 23:06,NISSA
163,NY,7/3/16 18:50,HYUND
164,NY,7/3/16 18:51,HYUND
165,NY,7/6/16 8:30,TOYOT
166,NY,7/6/16 9:05,ME/BE
167,NY,7/6/16 9:08,HONDA
168,NY,7/13/16 22:48,TOYOT
169,PA,7/13/16 23:49,TOYOT
170,NY,7/17/16 12:36,TOYOT
171,NY,7/17/16 12:57,FORD
172,NY,7/20/16 23:23,AUDI
173,PA,6/28/16 8:24,NISSA
174,NY,7/15/16 17:18,TOYOT
175,NY,7/10/16 17:10,HONDA
176,NY,7/4/16 21:50,LINCO
177,NY,7/18/16 3:39,HONDA
178,NY,7/18/16 3:44,BUICK
179,NY,7/19/16 0:30,FORD
180,NY,7/8/16 10:20,CHEVR
181,TX,7/12/16 22:35,FRUEH
182,NY,7/12/16 22:35,HONDA
183,MA,7/9/16 11:18,TOYOT
184,NY,7/3/16 1:40,CHEVR
185,NJ,7/7/16 7:00,CHEVR
186,NY,6/29/16 22:23,HONDA
187,NY,7/14/16 20:35,NISSA
188,NY,7/5/16 16:20,FORD
189,PA,6/29/16 21:30,CHEVR
190,NY,6/25/16 15:43,HYUND
191,PA,7/6/16 21:35,FORD
192,NY,7/6/16 21:13,CHEVR
193,NY,7/1/16 22:24,TOYOT
194,NY,7/12/16 3:23,BMW
195,UT,7/17/16 12:17,FORD
