Gender,Age,Year in College,Hours of Sleep,GPA
Female,22,4,7,3.8
Male,18,1,4,3.6
Male,19,2,9,3.5
Female,27,3,7,3
Female,37,3,5,3.61
Female,19,2,6,3.5
Female,30,2,5,3.6
Female,19,2,7,3
Male,22,4,5,3
Female,21,2,6,3.5
Female,24,3,6,3.6
Female,22,3,6,3
Male,22,2,7,2.8
Male,24,3,6,3.2
Male,21,2,8,2.75
Male,32,6,7,4
Female,22,4,7,3.2
Female,23,2,6,3
Male,28,2,5,3.7
Male,21,3,8,3.987
Male,29,2,7,3.25
Female,20,2,6,3.8
Female,23,4,6,3.7
Male,22,2,6,2.5
Female,22,2,6,3.01
Male,18,1,9,3
Female,17,4,7,3.5
Female,19,2,7,3.8
Female,18,1,6,3.46
Female,19,2,8,3.76
Female,18,1,6,3.5
Male,18,1,6,2.75
Male,18,1,7,3.7
Female,21,3,8,3.9
Female,19,2,8,3.24
Male,19,2,7,3.52
Male,20,3,6,3.56
Female,18,1,6,3.4
Male,21,3,7,2.8
Female,20,2,7,3.18
Male,21,3,7,3.1
Male,19,1,6,3.9
Male,20,2,6,2.9
Male,21,3,7,3.4
Male,20,3,8,2.89
Male,20,2,7,3.64
Male,19,1,7,3.82
Male,19,2,6,2.87
Female,17,4,6,3.85
Female,19,1,7,3
Female,19,2,7,3.4
Female,19,1,9,3.2
Male,18,4,7,2.7
Female,18,1,8,4
Female,18,1,7.5,3
Female,19,2,8,3.8
Male,19,1,7,3.75
Female,18,1,6,3.94
Female,18,1,6.5,3.7
Male,19,2,7,3.6
Male,19,1,6.5,3.69
Male,18,1,7,3.6
Male,19,2,8,4
Female,18,1,7,3.8
Male,18,1,6,3.8
Male,19,1,6.5,2.49
Male,19,2,7,3.7
Female,18,1,7,3.8
Female,18,1,7,3.2
Female,18,1,6,2.65
Female,18,1,7,2.5
Female,18,1,8,3.4
Female,18,1,8,3.85
Male,18,1,8,3.1
Male,21,3,8,3.19
Male,20,2,6,3
Male,22,4,7,3.25
Female,21,3,8,2.93
Male,18,1,7,3.3
Male,20,2,9,2.1
