ReceivingStatsID,PlayerID,PositionID,TeamID,GameID,Rec,RecYds,RecTD,Lng,LongTarget,LongRec,LongYds,LongTD,ShortTarget,ShortRec,ShortYds,ShortTD,RZInsideTwenty,RZInsideTen,RZInsideFive,RZTD,TotalTargets,RZTotal
1,1,3,1,1,4,30,0,8,0,0,0,0,4,4,30,0,1,0,0,0,4,1
2,1,3,1,4,1,22,0,22,1,1,22,0,0,0,0,0,0,0,0,0,1,0
3,1,3,1,5,1,8,0,8,0,0,0,0,1,1,8,0,1,0,0,0,1,1
4,1,3,1,6,2,20,1,17,2,1,17,1,1,1,3,0,1,0,0,1,3,1
5,1,3,1,7,1,18,0,18,0,0,0,0,1,1,18,0,0,0,0,0,1,0
6,1,3,1,8,2,15,0,8,1,0,0,0,5,2,15,0,0,0,1,0,6,1
7,1,3,1,9,1,12,0,12,0,0,0,0,1,1,12,0,0,0,0,0,1,0
8,1,3,1,10,1,13,0,13,0,0,0,0,1,1,13,0,0,0,0,0,1,0
9,1,3,1,12,3,51,0,24,2,1,24,0,2,2,27,0,0,0,0,0,4,0
10,2,3,1,3,1,15,0,15,0,0,0,0,1,1,15,0,0,0,0,0,1,0
11,2,3,1,4,3,31,0,15,0,0,0,0,3,3,31,0,0,0,0,0,3,0
12,2,3,1,8,1,2,0,2,0,0,0,0,1,1,2,0,0,0,0,0,1,0
13,2,3,1,9,3,27,0,18,0,0,0,0,3,3,27,0,0,0,0,0,3,0
14,2,3,1,10,2,18,0,11,0,0,0,0,2,2,18,0,0,0,0,0,2,0
15,2,3,1,11,1,14,0,14,0,0,0,0,1,1,14,0,0,0,0,0,1,0
16,2,3,1,12,3,25,0,10,0,0,0,0,3,3,25,0,1,0,0,0,3,1
17,4,3,1,6,2,28,1,19,1,1,19,1,1,1,9,0,1,0,0,1,2,1
18,4,3,1,7,1,17,0,17,0,0,0,0,1,1,17,0,0,0,0,0,1,0
19,4,3,1,8,3,40,0,19,1,1,19,0,2,2,21,0,0,0,0,0,3,0
20,5,4,1,1,4,34,0,12,0,0,0,0,5,4,34,0,0,0,0,0,5,0
21,5,4,1,2,5,28,2,11,0,0,0,0,5,5,28,2,2,0,2,2,5,4
22,5,4,1,3,1,8,0,8,0,0,0,0,1,1,8,0,0,0,0,0,1,0
23,5,4,1,4,4,43,0,14,1,0,0,0,5,4,43,0,0,0,0,0,6,0
24,5,4,1,5,5,70,0,18,0,0,0,0,7,5,70,0,0,1,0,0,7,1
