,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,5.78,5.81,5.75,5.78,5.680864,3294200
1,2017-01-04,5.87,5.9,5.85,5.89,5.788977,4098500
2,2017-01-05,5.9,5.92,5.87,5.87,5.76932,2299200
3,2017-01-06,5.88,5.9,5.83,5.87,5.76932,3712600
4,2017-01-09,5.82,5.91,5.81,5.87,5.76932,4019900
5,2017-01-10,5.92,5.94,5.85,5.88,5.779148999999999,4631400
6,2017-01-11,5.85,5.9,5.82,5.88,5.779148999999999,5554000
7,2017-01-12,5.87,5.9,5.83,5.88,5.779148999999999,3619100
8,2017-01-13,5.91,5.94,5.89,5.92,5.8184629999999995,2445600
9,2017-01-17,6.0,6.01,5.96,6.01,5.906919,4917700
10,2017-01-18,5.91,5.95,5.89,5.91,5.808634,3085800
11,2017-01-19,5.83,5.86,5.77,5.82,5.720178,2512500
12,2017-01-20,5.83,5.88,5.82,5.87,5.76932,3886700
13,2017-01-23,5.81,5.83,5.75,5.81,5.710349,3239400
14,2017-01-24,5.85,5.94,5.83,5.91,5.808634,3617800
15,2017-01-25,5.87,5.9,5.83,5.89,5.788977,3486900
16,2017-01-26,5.93,6.09,5.88,6.07,5.96589,11650700
17,2017-01-27,5.9,5.95,5.88,5.92,5.8184629999999995,8209800
18,2017-01-30,5.85,5.85,5.81,5.82,5.720178,5199500
19,2017-01-31,5.92,5.93,5.84,5.89,5.788977,4096500
20,2017-02-01,5.87,5.88,5.8,5.86,5.759492,3091900
21,2017-02-02,5.9,5.92,5.85,5.87,5.76932,4953100
22,2017-02-03,5.84,5.85,5.79,5.8,5.700521,2485500
23,2017-02-06,5.68,5.7,5.65,5.69,5.592408,3604400
24,2017-02-07,5.67,5.68,5.61,5.62,5.523608,2468500
25,2017-02-08,5.66,5.71,5.63,5.71,5.612064,3634400
26,2017-02-09,5.75,5.79,5.74,5.77,5.671035,1831900
27,2017-02-10,5.7,5.72,5.68,5.71,5.612064,1588000
28,2017-02-13,5.71,5.74,5.68,5.72,5.621892,1923200
29,2017-02-14,5.73,5.78,5.73,5.78,5.680864,2590500
30,2017-02-15,5.76,5.91,5.75,5.9,5.798806,9723500
31,2017-02-16,6.08,6.15,6.08,6.13,6.0248610000000005,6517700
32,2017-02-17,5.93,6.0,5.91,5.96,5.857777,3384600
33,2017-02-21,6.18,6.25,6.15,6.21,6.103488,5488100
34,2017-02-22,6.33,6.42,6.3,6.41,6.300058,11244700
35,2017-02-23,6.65,6.65,6.53,6.53,6.418,5629100
36,2017-02-24,6.47,6.49,6.43,6.45,6.339372,14358900
37,2017-02-27,6.4,6.46,6.38,6.44,6.329544,3040300
38,2017-02-28,6.43,6.52,6.43,6.45,6.339372,4737200
39,2017-03-01,6.58,6.6,6.52,6.58,6.467143,3925700
40,2017-03-02,6.58,6.59,6.5,6.53,6.418,3121100
41,2017-03-03,6.59,6.61,6.55,6.6,6.4867989999999995,3368100
42,2017-03-06,6.57,6.57,6.47,6.49,6.378686,4943400
43,2017-03-07,6.44,6.48,6.41,6.42,6.309887000000001,2339400
44,2017-03-08,6.39,6.4,6.36,6.38,6.270573000000001,2279900
45,2017-03-09,6.56,6.59,6.53,6.59,6.476971,4595300
46,2017-03-10,6.59,6.64,6.55,6.62,6.506456,3088300
47,2017-03-13,6.6,6.66,6.6,6.64,6.526114,3283400
48,2017-03-14,6.56,6.59,6.53,6.54,6.427828,1858200
49,2017-03-15,6.46,6.55,6.43,6.55,6.437657,2694700
50,2017-03-16,6.58,6.64,6.56,6.64,6.526114,2573100
51,2017-03-17,6.66,6.68,6.62,6.66,6.54577,7417900
52,2017-03-20,6.62,6.66,6.6,6.61,6.496628,3322300
53,2017-03-21,6.63,6.65,6.48,6.48,6.368858,5098800
54,2017-03-22,6.43,6.5,6.42,6.49,6.378686,2617700
55,2017-03-23,6.45,6.52,6.42,6.46,6.349201,2721600
56,2017-03-24,6.53,6.6,6.52,6.55,6.437657,2167400
57,2017-03-27,6.64,6.76,6.63,6.69,6.5752559999999995,5098900
58,2017-03-28,6.58,6.64,6.44,6.45,6.339372,7214100
59,2017-03-29,6.48,6.54,6.37,6.53,6.418,5530500
60,2017-03-30,6.47,6.58,6.47,6.56,6.56,5245600
61,2017-03-31,6.62,6.71,6.62,6.64,6.64,6352900
62,2017-04-03,6.68,6.7,6.52,6.55,6.55,3372400
63,2017-04-04,6.47,6.6,6.47,6.54,6.54,5007200
64,2017-04-05,6.43,6.44,6.34,6.38,6.38,5821200
65,2017-04-06,6.44,6.5,6.43,6.45,6.45,4390200
66,2017-04-07,6.41,6.5,6.41,6.47,6.47,3294100
67,2017-04-10,6.43,6.49,6.42,6.46,6.46,4378100
